"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.jakarta.UpdateJerseyDependencies","7","4","13300","0.0","5100","8600","2800.0","2800"
"org.openrewrite.java.testing.junit5.CleanupJUnitImports","7","4","0","0.0","0","32700","13816.0","13800"
"org.openrewrite.java.migrate.jakarta.UpdateApacheShiroDependencies","7","4","10100","0.0","4300","17000","4576.0","4400"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate","7","4","13000","0.0","10900","11900","2808.0","5700"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_7","7","4","14500","0.0","8600","59500","38880.0","37500"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_5","7","4","13300","0.0","9700","22000","6336.0","7300"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_6","7","4","10300","0.0","5200","11900","2272.0","3700"
"org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError","7","4","0","0.0","0","38900","26616.0","26100"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_3","7","4","13500","0.0","8400","18500","3580.0","10400"
"org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod","7","4","0","0.0","0","7700","3196.0","3100"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_4","7","4","17300","0.0","12100","14200","1520.0","9400"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_1","7","4","7700","0.0","5100","24200","7416.0","11400"
"org.openrewrite.apache.httpclient5.MigrateStringEntityStringCharsetConstructor","7","4","0","0.0","0","60900","10748.0","10400"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_2","7","4","6900","0.0","2600","19500","2288.0","11400"
"org.openrewrite.java.spring.boot2.SpringBootProperties_2_0","7","4","10800","0.0","4000","23300","8688.0","8700"
"org.openrewrite.java.migrate.lang.ExplicitRecordImport","7","4","0","0.0","0","749800","458736.0","456600"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpCoreNioDependencies","7","4","20100","0.0","4000","13200","1336.0","1300"
"org.openrewrite.java.testing.junit5.ExpectedExceptionToAssertThrows","7","4","0","0.0","0","12900","2808.0","5500"
"org.openrewrite.java.testing.junit5.AssertToAssertions","7","4","0","0.0","0","14600","6136.0","5900"
"org.openrewrite.java.migrate.jakarta.JavaxXmlToJakartaXmlXJCBinding","7","4","21200","0.0","6200","36100","2144.0","26900"
"org.openrewrite.java.testing.mockito.PowerMockitoMockStaticToMockito","7","4","0","0.0","0","793400","688120.0","674800"
"org.openrewrite.java.testing.junit5.UpgradeSurefirePlugin","7","4","0","0.0","0","29600","3808.0","21400"
"org.openrewrite.java.migrate.jakarta.MigratePluginsForJakarta10","7","4","42000","0.0","28600","13400","2784.0","3900"
"org.openrewrite.java.spring.boot2.MigrateConfigurationPropertiesBindingPostProcessorValidatorBeanName","7","4","0","0.0","0","16700","4348.0","5600"
"org.openrewrite.java.migrate.jakarta.RemovedUIComponentConstant","7","4","10700","0.0","2500","52100","27632.0","27000"
"org.openrewrite.java.migrate.jakarta.JavaxWebXmlToJakartaWebXml","7","4","5500","0.0","1100","26700","7408.0","7200"
"org.openrewrite.xml.RemoveXmlTag","7","4","0","0.0","0","303600","412.0","301900"
"org.openrewrite.java.spring.ChangeMethodParameter","7","4","0","0.0","0","14700","8700.0","8200"
"org.openrewrite.java.migrate.RemovedSecurityManagerMethods","7","4","0","0.0","0","434400","221180.0","219800"
"org.openrewrite.java.spring.cloud2022.MigrateCloudSleuthToMicrometerTracing","7","4","15100","0.0","7200","7700","1376.0","1900"
"org.openrewrite.maven.RemoveManagedDependency","7","4","0","0.0","0","507000","1404.0","181400"
"org.openrewrite.openapi.swagger.SwaggerToOpenAPI","7","4","53100","0.0","48500","12200","912.0","8100"
"org.openrewrite.openapi.swagger.MigrateApiModelToSchema","7","4","0","0.0","0","13800","3064.0","5000"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceArrayWeakCompareAndSetToWeakCompareAndSetPlain","7","4","11000","0.0","9000","22000","8176.0","8100"
"org.openrewrite.java.migrate.jakarta.UpgradeFaces3OpenSourceLibraries","7","4","7400","0.0","1200","21800","4080.0","4000"
"org.openrewrite.java.migrate.jakarta.EhcacheJavaxToJakarta","7","4","11000","0.0","8400","22000","3264.0","9000"
